time,open,high,low,close
2026-07-20 22:45:00,4007.70065,4015.00123,4007.69477,4010.37329
2026-07-20 23:00:00,4009.82157,4013.16318,4006.95335,4010.49781
2026-07-20 23:15:00,4010.33555,4012.19708,4007.8554,4009.90705
2026-07-20 23:30:00,4010.20674,4016.54818,4007.13059,4014.22041
2026-07-20 23:45:00,4014.42414,4014.87851,4007.56169,4007.89942
2026-07-21 00:00:00,4008.44979,4008.44979,3999.20016,4000.9564
2026-07-21 00:15:00,4000.83363,4005.76831,3998.72041,4005.31393
2026-07-21 00:30:00,4005.23085,4010.10547,4005.06277,4008.57837
2026-07-21 00:45:00,4008.91664,4012.84109,4006.33949,4006.84781
2026-07-21 01:00:00,4006.6758,4019.13106,4005.15545,4014.01829
2026-07-21 01:15:00,4013.7763,4016.02539,4011.59951,4015.93836
2026-07-21 01:30:00,4015.81702,4016.26955,4010.90967,4011.62229
2026-07-21 01:45:00,4011.08437,4015.8302,4011.08437,4013.22536
2026-07-21 02:00:00,4013.27952,4018.48503,4011.51374,4013.94461
2026-07-21 02:15:00,4015.16628,4015.16628,4011.71421,4012.26035
2026-07-21 02:30:00,4012.30729,4012.77847,4005.52854,4009.32654
2026-07-21 02:45:00,4008.83735,4010.23887,4007.69477,4010.01187
2026-07-21 03:00:00,4009.75295,4012.71084,4008.48866,4010.60373
2026-07-21 03:15:00,4010.9055,4013.32424,4009.46233,4011.66397
2026-07-21 03:30:00,4011.8419,4012.84109,4008.90499,4009.19722
2026-07-21 03:45:00,4009.56635,4009.99649,4003.84369,4004.77693
2026-07-21 04:00:00,4004.65207,4011.06046,4002.12251,4009.43956
2026-07-21 04:15:00,4009.24918,4013.79985,4004.32467,4006.91231
2026-07-21 04:30:00,4006.21494,4007.53416,4004.48502,4006.84386
2026-07-21 04:45:00,4006.47653,4008.49802,4005.92877,4006.64812
2026-07-21 05:00:00,4006.87549,4007.99787,4004.59496,4004.77646
2026-07-21 05:15:00,4004.9938,4011.14476,4004.20282,4008.31924
2026-07-21 05:30:00,4007.33207,4016.54818,4005.70795,4007.94421
2026-07-21 05:45:00,4010.33772,4010.33772,4005.28698,4006.72388
2026-07-21 06:00:00,4006.98049,4009.14084,4005.76831,4007.40373
2026-07-21 06:15:00,4007.01036,4009.14084,4007.01036,4008.95107
2026-07-21 06:30:00,4008.82766,4009.53296,4008.33734,4008.85745
2026-07-21 06:45:00,4008.91531,4008.91531,4007.53416,4008.3034
2026-07-21 07:00:00,4008.18295,4008.44682,4007.69477,4008.25066
2026-07-21 07:15:00,4008.16243,4008.45312,4008.1542,4008.33055
2026-07-21 07:30:00,4008.23256,4008.66688,4006.41026,4006.61735
2026-07-21 07:45:00,4006.99121,4006.99121,4005.92877,4006.48828
2026-07-21 08:00:00,4006.43273,4011.39235,4004.82907,4006.27699
2026-07-21 08:15:00,4006.49739,4010.27887,4005.44741,4009.50318
2026-07-21 08:30:00,4009.15026,4009.94466,4003.04231,4004.5566
2026-07-21 08:45:00,4004.19667,4005.12656,3999.73871,4001.40174
2026-07-21 09:00:00,4001.19571,4009.6231,3999.8857,4003.3494
2026-07-21 09:15:00,4003.2427,4007.53416,4002.00266,4004.35607
2026-07-21 09:30:00,4004.3255,4008.01603,4002.73449,4007.52851
2026-07-21 09:45:00,4007.03506,4009.37359,4005.44741,4009.17417
2026-07-21 10:00:00,4008.90482,4011.83054,4004.28643,4011.08401
2026-07-21 10:15:00,4009.93315,4017.67778,4008.50784,4017.32126
2026-07-21 10:30:00,4017.12603,4024.30681,4014.61319,4021.98911
2026-07-21 10:45:00,4022.17087,4027.70487,4021.7734,4024.52544
2026-07-21 11:00:00,4024.39212,4029.49324,4018.96954,4028.5774
2026-07-21 11:15:00,4027.57668,4034.8612,4027.38623,4029.6043
2026-07-21 11:30:00,4029.77016,4030.47164,4023.65912,4025.87028
2026-07-21 11:45:00,4025.71761,4028.54337,4022.36435,4022.48982
2026-07-21 12:00:00,4022.75592,4026.73754,4022.48355,4024.26155
2026-07-21 12:15:00,4024.9859,4029.09691,4022.04078,4028.42757
2026-07-21 12:30:00,4026.77256,4040.73056,4026.77256,4037.02367
2026-07-21 12:45:00,4037.6671,4038.11985,4031.44527,4037.92339
2026-07-21 13:00:00,4037.40336,4041.5471,4036.58506,4039.05066
2026-07-21 13:15:00,4039.60274,4049.8947,4037.3047,4045.269
2026-07-21 13:30:00,4045.8026,4049.07479,4042.20057,4042.32846
2026-07-21 13:45:00,4042.54997,4046.9384,4042.20057,4046.78657
2026-07-21 14:00:00,4046.56069,4051.20726,4045.4711,4046.54961
2026-07-21 14:15:00,4046.34406,4047.32877,4043.05334,4044.6386
2026-07-21 14:30:00,4044.42444,4047.92746,4044.22349,4047.66921
2026-07-21 14:45:00,4047.13045,4048.96502,4045.79844,4048.90574
2026-07-21 15:00:00,4048.8062,4051.41507,4047.0168,4051.02985
2026-07-21 15:15:00,4050.36063,4056.46601,4048.17481,4053.98184
2026-07-21 15:30:00,4054.12855,4066.1977,4051.75574,4066.04311
2026-07-21 15:45:00,4065.66994,4067.85177,4061.90341,4062.03827
2026-07-21 16:00:00,4062.25592,4071.40634,4061.73842,4071.20575
2026-07-21 16:15:00,4070.93204,4073.81757,4069.17599,4072.2973
2026-07-21 16:30:00,4072.19525,4081.46606,4071.82766,4077.1604
2026-07-21 16:45:00,4077.69689,4085.13447,4077.5401,4078.94312
2026-07-21 17:00:00,4079.22185,4079.80479,4072.15865,4072.24257
2026-07-21 17:15:00,4072.4587,4072.84586,4068.84485,4069.98826
2026-07-21 17:30:00,4069.71162,4074.81358,4067.23059,4072.29956
2026-07-21 17:45:00,4072.84984,4072.84984,4070.16973,4070.80117
2026-07-21 18:00:00,4070.41815,4073.03463,4066.1977,4068.04023
2026-07-21 18:15:00,4067.37507,4068.51377,4063.38887,4064.27582
2026-07-21 18:30:00,4064.02977,4065.08932,4061.57345,4062.74149
2026-07-21 18:45:00,4062.8457,4063.38887,4058.48986,4061.8255
2026-07-21 19:00:00,4062.31221,4067.02456,4062.31221,4065.35737
2026-07-21 19:15:00,4065.37637,4068.3923,4063.89508,4064.16185
2026-07-21 19:30:00,4064.57855,4064.71019,4061.4085,4061.45143
2026-07-21 19:45:00,4061.61861,4069.83843,4061.61861,4067.36391
